                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.42335,                 0.5834,                0.92236,                0.98736,                0.85476,                0.93696,                0.81388,                0.61762,                0.64775,                0.89398,              0.0012445,              0.0012445,              0.0012445
                    130,                0.37153,                0.50838,                 0.9131,                0.97102,                0.84223,                0.94126,                0.82048,                0.58895,                0.67735,                0.90604,              0.0012412,              0.0012412,              0.0012412
                    131,                0.42041,                0.51212,                0.91372,                0.86569,                0.93442,                0.93017,                0.82468,                0.53446,                0.59459,                0.88577,              0.0012379,              0.0012379,              0.0012379
                    132,                0.40801,                  0.508,                0.89245,                0.95095,                 0.9234,                0.94349,                0.82439,                0.54475,                0.56926,                0.86058,              0.0012346,              0.0012346,              0.0012346
                    133,                0.41017,                0.53329,                0.93107,                0.94772,                0.92064,                0.96526,                0.83712,                 0.5546,                0.55955,                0.86452,              0.0012313,              0.0012313,              0.0012313
                    134,                0.40482,                0.55929,                0.92177,                0.98832,                0.92347,                0.96024,                0.84306,                0.54013,                0.57071,                0.87595,               0.001228,               0.001228,               0.001228
                    135,                0.37469,                0.51176,                 0.8977,                0.98329,                0.90476,                0.94769,                0.82464,                0.52915,                0.54504,                0.86342,              0.0012247,              0.0012247,              0.0012247
                    136,                0.43199,                0.58017,                0.94719,                0.97861,                0.90476,                0.94625,                0.82535,                0.58242,                0.58407,                0.87186,              0.0012214,              0.0012214,              0.0012214
                    137,                0.43621,                0.61577,                0.91383,                0.93324,                0.90476,                0.94259,                0.83109,                0.49795,                0.61575,                0.84937,              0.0012181,              0.0012181,              0.0012181
                    138,                0.40141,                0.51583,                0.90866,                      1,                0.90284,                0.95103,                 0.8442,                0.51523,                0.59156,                0.85585,              0.0012148,              0.0012148,              0.0012148
                    139,                0.41044,                 0.5484,                0.92303,                0.99214,                0.92043,                0.95475,                 0.8469,                0.54746,                0.58519,                 0.8653,              0.0012115,              0.0012115,              0.0012115
                    140,                0.39577,                0.50785,                0.90871,                0.98128,                0.92453,                0.95499,                0.85453,                0.51319,                0.63512,                0.85069,              0.0012082,              0.0012082,              0.0012082
                    141,                0.43059,                0.54451,                0.91762,                0.94946,                0.91539,                0.94588,                 0.8499,                0.50817,                0.59559,                0.85843,              0.0012049,              0.0012049,              0.0012049
                    142,                0.39591,                0.50749,                0.91458,                0.93846,                0.90459,                0.95489,                0.86805,                0.48828,                0.56186,                0.84837,              0.0012016,              0.0012016,              0.0012016
                    143,                0.42842,                0.57783,                0.92838,                0.97028,                0.85476,                 0.9515,                0.84951,                0.51121,                0.54103,                0.85025,              0.0011983,              0.0011983,              0.0011983
                    144,                0.42834,                0.56513,                0.93249,                0.93119,                0.85476,                0.94116,                0.84664,                0.51066,                0.62773,                0.85725,               0.001195,               0.001195,               0.001195
                    145,                 0.3804,                0.51196,                0.91921,                0.87604,                0.90476,                0.95099,                0.85466,                0.51611,                0.66417,                0.85224,              0.0011917,              0.0011917,              0.0011917
                    146,                0.40103,                0.49264,                0.89773,                0.83584,                0.90476,                 0.9326,                0.81694,                0.53189,                0.69013,                0.84716,              0.0011884,              0.0011884,              0.0011884
                    147,                0.38892,                0.50133,                0.89332,                0.84354,                0.90476,                 0.9186,                0.82207,                0.53218,                 0.6473,                0.84977,              0.0011851,              0.0011851,              0.0011851
                    148,                0.39218,                0.51623,                0.88891,                0.91635,                0.91754,                0.93462,                0.82403,                0.54426,                0.60253,                0.85693,              0.0011818,              0.0011818,              0.0011818
